movie_id,title,similarity_score
1633,Á köldum klaka (Cold Fever) (1994),88.41339803776283
1627,"Wife, The (1995)",88.41339803776283
1186,"Inkwell, The (1994)",88.41339803776283
737,Sirens (1994),88.41339803776283
953,Unstrung Heroes (1995),88.41339803776283
1044,"Paper, The (1994)",88.41339803776283
316,As Good As It Gets (1997),88.41339803776283
652,Rosencrantz and Guildenstern Are Dead (1990),88.41339803776283
1170,Spanking the Monkey (1994),88.41339803776283
481,"Apartment, The (1960)",88.41339803776283
